,Question,Answer,Please give an example of your experience in understanding and framing the problem to be solved in Discovery.,Outcome,Date,Dept,Bid,Winner,Applications,Score notes,Other notes
11, Demonstrable evidence of successfully delivering alpha/beta phases in line with GDS criteria for a government department    ," Marvell Consulting has supplied a multidisciplinary agile team of ten members over two years to research, design and implement a multi-tiered e-licensing system for regulating the use of Animals in Science for the Home Office (HO). The users are research establishments from academia and industry in the UK. The service is now in public Beta having passed three alpha assessments. There are 154 establishments, over 15000 personal licences and 1765 project licences in the new system. The previous proprietary system was replaced by an open source system delivering a 3 million saving to the HO over 5 years. (98 words)",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
12, Proven and demonstrable experience of designing and testing prototypes and identifying feasible solutions to the problem ,"
For Animals in Science, we redesigned the project licence application from a ‘one size fits all’ ineffective form to an adaptable and effective questionnaire that met the needs of the regulator and the scientists. We prototyped three key sections over four months with each section being iterated four times until we were confident that the solution meets user needs. For example, users were writing a poor non technical summary of their work at the end of an eighty page application. We helped them to write it progressively, designed prompts and auto-populated answers where possible. Also, reduced the number of questions. ",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
13," Proven/demonstrable track record of delivering projects at speed using agile project management methodology with clearly identified deliverables/timescales, flexibility to make late changes and reformulating to maintain project progress      ","We have recently delivered a complex government service through alpha and private beta to live public beta launch.
Delivery was achieved using Agile delivery: fortnightly sprint planning, ""show and tell"", retrospectives and daily stand ups for the delivery team.
Scope was managed via continuous refinement and prioritisation of the backlog. Progress towards the delivery deadline was monitored and managed by plotting ""burnup chart"" of work done against total work to do in a backlog of items estimated for relative complexity. Throughout priorities were reordered and scope was renegotiated to ensure  delivery of required functionality was achieved for the required date.  ",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
14, Demonstrable evidence of excellent coordination and communication skills with the team the supplier is contracted to.," For the Animals in Science Licensing project Marvell worked with the ASRU team who were new to Agile. We implemented agile ceremonies and engaged with ASRU through: 
* Weekly reports of sprint goals and progress made
* Regular Show & Tells of evidence based design, iterative delivery and sharing of lessons learnt (failures and successes)
* Building trust and managing diverse stakeholder groups critical to delivery
* Managing risk through a register and tracking delivery using a burnup chart 
* Presenting work at the quarterly ASRU conference
* Service manager attending research sessions and design crits: 
‘Your approach to delivery and engagement with ASRU has been exemplar’",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
15, Demonstrable evidence of a robust risk management process.," At the beginning of Alpha a workshop captures perceived risks. These are managed using a project management tool e.g. Trello. Risks are scored using an ""exposure"" score that combines: cost in terms of days of work for the team; multiplied by the probability that a risk might be realised.
Risks are managed bi-weekly. Senior stakeholders, the product manager and delivery manager meet and discuss the risks. Each risk score is reviewed, mitigating actions are identified and any new risks added.
A graph showing the current overall “Risk score” is shared with stakeholders as part of regular project reporting.",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
16, Experience of modelling and building different data structures to meet differing data requirements., The Animal Science Licensing project involved a complete redesign and migration of the database schema. This involved a combination of relational data and JSONB document stores as appropriate for the nature of the data and the business requirements for querying across different entities.,,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
17," Experience of using data validation methods including using master and reference data to improve data quality during the process of data collection, transformation and analysis.  "," For the life event verification project at HMPO we applied data filtering methods to ensure required data fields were populated and valid for querying. This included filtering out data that isn’t valid, de-duplicating records (due to system errors in GRO) and collecting records for later analysis which don’t meet the required schema. This data is then analysed and shared with GRO to ensure they clean up the master data records to reduce occurrences in future replications.
We also apply proper data types: for example enforcing transforming a date in a text field into a proper date field and also enforce uniqueness on unique fields to ensure that records don't erroneously reference themselves.",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
18, Experience of using data engineering approaches and technology to transform the structure/format of data to support different data requirements., For the life event verification project at HMPO we implemented a near real time ETL procedure by containerising symmetricds to securely transmit and transform data from a licensed oracle system in the GRO estage to an RDS postgres service in AWS https://github.com/UKHomeOffice/docker-symmetricds. During the transform stage we created a wrangle tool which is responsible for transforming GRO's raw flat data into Person Object Location Event (POLE) data types for easy consumption by the API https://docs.api.lev.homeoffice.gov.uk/life-event-verification-lev-api/resources/birth-record-v0?v=latest. This process involved cleaning and de-duplicating data while also denormalizing data for increased performance via critical caseworking systems.,,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
19, Experience in designing digital solutions which are transport related ," Our senior user researcher, Anthony, managed the research and design activities for the development of the WebCat Tool for TfL. He worked with the client’s planning team to research with users and design a new website that would enable planners to assess how well connected London neighbourhoods are. He tested in an agile environment with a diverse
audience, including local authority and NHS planners, internal stakeholders and general public users.
The solution won the AGI Award for Geospatial Excellence, for “representing good practice in development with clear stakeholder and audience engagement [...] and careful identification of the functionality”. ",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
20,Experience in designing digital solutions which are survey related ," Many government teams lack the resource to effectively make use of their performance data. Lots of data are buried in closed off databases, owned by separate teams, spread across a range of different sources or just be hard to make sense of.
We helped create an API that pulled in data from a range of sources – including online surveys and offline service data. Based on raw data, we created a standardised definitions of metrics and template visualisations – meaning the data could be transformed into actionable KPIs – that service teams were able to build service improvements upon.",,Lost,07/10/2019,DfT,Digital Travel Diary for the National Travel Survey (NTS) Alpha&Beta,Ghost (Digital),24,,
21, Experience of agile working alongside a developer and technical architect using user centred design practices to ensure user stories and user research are at the heart of product design.," We understand user research is a team activity. Our researchers have worked collaboratively in multi-skilled Agile teams with developers, technical architects, designers and product managers. Team members contribute to research questions, observe research sessions to empathize with users and participate in debriefs. User stories develop from the findings of user research and are backed with evidence. Prototypes are tested iteratively with users to ensure products meet user needs. When a usability issue is identified there is discussion with developers and designers to identify ways for addressing it. Some of the services we worked on are: Animal Science Licensing, BRP enquiries.     
	Proven ability to design services to meet valid user needs including planning, designing and conducting usability testing of prototypes. 
Our researchers have experience of the full GDS lifecycle from discovery through to making a service live that is accessible to all users while providing assisted digital support. For the Animals in Science Licensing system, we planned, designed and conducted rapid usability testing on prototypes from low to high fidelity. Liaised with designers and developers to prepare prototypes for testing, designed tasks based on identified user needs and observed what users do rather than what they say. We held about 200 usability sessions over two years. The system is in public beta, receiving very positive user feedback. ",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
22,"Proven ability to design services to meet valid user needs including planning, designing and conducting usability testing of prototypes. ","Our researchers have experience of the full GDS lifecycle from discovery through to making a service live that is accessible to all users while providing assisted digital support. For the Animals in Science Licensing system, we planned, designed and conducted rapid usability testing on prototypes from low to high fidelity. Liaised with designers and developers to prepare prototypes for testing, designed tasks based on identified user needs and observed what users do rather than what they say. We held about 200 usability sessions over two years. The system is in public beta, receiving very positive user feedback. 
",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
23, Experience of Mapping user journeys and creating personas.," We delivered the discovery for Reporting Modern Slavery for the Home Office in line with the GDS standard. We spoke to users in the National Referral Mechanism ecosystem. We mapped current processes, systems and pain points from referral through to investigation by engaging with stakeholders in interviews and workshops. We produced personas of users and their characteristics, prioritised user needs and user journeys for Alpha. Our recommendations shaped the live digital service. An easy to use online form replaced multiple paper forms with effective triaging of referrals and a system that joins the various parties throughout the NRM. ",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
24," Excellent written and verbal communication including strong negotiation skills and the ability to influence external partners, suppliers and stakeholders."," We lead the research activities for the service ‘Prove your right to work to an employer’ in Alpha for HO Visas and Immigration. Our researcher found that there was a lack of understanding of users and their needs and the scope was too wide to move into Alpha. They put together a plan of rapid research and engaged in research activities stakeholders, external partners and suppliers. Delivered reports with prioritised findings and presentations often showing videos of real users.The research recommendations changed the service design model from being employer to migrant centric which got approved by the project board. ",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
25, Experience creating and delivering user research sessions and workshops.," The use of animals in scientific research is subject to rigorous regulation in the UK. Marvell Consulting worked with the Animal Science Regulation Unit at the Home Office to replace their underperforming licensing system with a new digital service. Two of our researchers created and delivered around 300 user research sessions and workshops over 2 years. These included: 
Contextual enquiry, ideation workshops, evidence safari, usability testing of early prototypes through to live software. The service is in public beta. It is delivering substantial cost savings to the HO; enhanced compliance and increased user satisfaction to establishments in the Bioscience industry. ",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
26," Experience using analytics, research and insights to make improvements that meet user needs."," Our user researchers have substantial experience in analysing data from feedback surveys, web analytics, interviews and observations to identify pain points to validate with further research with users. A recent example is the improvements Marvell are making to the form on gov.uk for Reporting Online Terorism Material to the police. We analysed data from multiple sources and identified the need to allow users to submit information in the form of images and short videos that provide essential evidence for investigation. We are also simplifying the form and adding guidance to help users with low digital skills make a report. ",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
27, Experience Delivering outputs in line with Government Digital Service Standard.," Our outputs align with GDS standards. For the BRP enquiries service for Visas and Immigration, we managed the beta phase which passed a live GDS service assessment. We produced plans and screeners to guide user recruitment and generated personas and segmentation maps from user interviews. We mapped user journeys and created usability reports with prioritised findings and recommendations following prototype testing. We wrote epics and user stories based on user needs. Web analytics reports, survey results and WCAG AA accessibility reports were also produced to help prepare the service for going live. Outputs were presented in debriefs and show & tells.",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
28," Ability to identify users and potential users of specific, niche services in the public domain (particularly those similar to the military service) and securing their participation in user research.  "," For the BRP enquiries service, we identified users and potential users by speaking to back office teams, service support channels and third party organisations such as charities, and by analysing service usage data and government reports. We identified vulnerable user groups such as asylum seekers and refugees, including young people, and those who support them to communicate with the Home Office about issues with their Visa permit. We developed relationships with third parties who in turn helped us to find users. We also liaised with the back office to contact existing users of the service who were willing to help.",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
29, Experience identifying assisted digital users and engaging them to ensure the service is designed to enable maximum digital take up. ," We do research to understand why some of the users of a service may avoid using the digital route or choose non-digital alternatives. We have experience analysing various sources of information which often include sociodemographic data and service usage data. For the Biometric Residence Permit enquiries service for the UKVI, we spoke to users who had sent letters to report an issue with their permit. Lack of digital skills, lack of knowledge of the English language and cognitive disability were some of the reasons. We engaged with a panel of AD users through iterative testing and simplified the service. ",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
30, Proven ability to update user needs and user stories throughout the cycles of iterative product development to feed into prototype development and influence product direction. ," For the development of the animals in science licensing system our researchers managed a catalogue of user needs per user type in a trello board and logged the associated epics and user stories into Jira. As research progressed, user needs were being captured in a single place. The user stories were refined and insights informed the product backlog prioritisation. User stories were worked up into prototypes that were critiqued by the team and tested in two and often three iterations with users. This shaped the product’s direction. The system is in public beta having met the GDS standard.  ",,Lost,23/01/2020,MoD,User Researcher for Military Service Records Beta,Not stated,22,,
31," Experience of delivering transformative channel strategies in complex, multifaceted organisations."," We transformed the Biometric Residence Permits enquiries service for UK Visas and Immigration. The business received over 100K enquiries per year reporting problems with BRPs (lost, delivery issues, mistakes) over email, phone and post channels. Important information was missing. This resulted in repeated contact and delays. 
We researched and implemented digital forms that allow in country and out of country users to report an issue easily and get a timely resolution. We signposted the service from Visa decision letters and designed the telephone support model. The forms are accessible across devices and achieved 95% digital take up.",,Lost,28/01/2020,DIT,Discovery and design phase for inbound enquiry handling & channel strategy,Deloitte LLP,34,,
32, Extensive experience of conducting user research / business analysis / service design activity with businesses and civil servants to improve system or process effectiveness.," The use of animals in scientific research is subject to rigorous regulations in the UK. 
We worked with the Animal Science Regulation Unit at the Home Office to replace their existing underperforming licensing system with a new digital service. We engaged with establishments in academia and industry and civil servants across the country via 300 observations, service design workshops and usability sessions over the course of 2 years. The new system is in public beta. It is delivering substantial operational cost savings to the HO; enhanced compliance and increased user satisfaction to establishments in the Bioscience industry. ",,Lost,28/01/2020,DIT,Discovery and design phase for inbound enquiry handling & channel strategy,Deloitte LLP,34,,
33, Specific experience in delivering services that comply with legal accessibility standards.," For the Biometric Residence Permit enquiries service on gov.uk we tested prototypes with visa holders with various access needs to ensure that they could succeed the first time. We conducted accessibility testing so that components of the implementation could be used across a range of assistive devices. As a result, we implemented an accessible country selector so that screen reader users can complete a form in five minutes to report a problem with their permit. The service met the WCAG AA legal accessibility standard, passed a GDS live assessment and became a benchmark for HO services. ",,Lost,28/01/2020,DIT,Discovery and design phase for inbound enquiry handling & channel strategy,Deloitte LLP,34,,
34," Experience delivering discoveries in line with the Government Service Standard - including the identification of user personas, delivery of user journey mapping and delivery of prioritised user stories."," We delivered the discovery for Reporting Modern Slavery for the Home Office in line with the Government Service Standard. We identified the users in the National Referral Mechanism ecosystem, mapped current processes, systems used and pain points from referral through to investigation by engaging with stakeholders across the country. We produced personas, prioritised user needs and stories to take into Alpha along with proposed user journeys. Our recommendations shaped the new digital service. A new easy to use online form replaced multiple paper forms with effective triaging of referrals and a system that joins the various parties throughout the NRM.  ",,Lost,28/01/2020,DIT,Discovery and design phase for inbound enquiry handling & channel strategy,Deloitte LLP,34,,
35, Experience of delivering channel strategies in globally dispersed/multi-national organisations? ," Our senior researcher, Aspasia Dellaporta, has led the research activities for creating a global open innovation solution for Unilever. She worked as part of a team that delivered the discovery and design blueprint for a digital service that helps to bring the best ideas from innovators and businesses around the world to billions of consumers. The new service utilises digital, face-to-face, phone and social media channel strategies to engage with scouts and innovators. The service is available here: 
https://www.unilever.com/about/innovation/open-innovation/",,Lost,28/01/2020,DIT,Discovery and design phase for inbound enquiry handling & channel strategy,Deloitte LLP,34,,
36, Experience of developing and supporting government systems with businesses as the primary customer.," We have supplied an agile team of 10 people over 2 years to develop a multi-tiered e-licensing system for regulating the use of Animals in Science for the Home Office. The users are research businesses from academia and industry in the UK. There are 154 businesses, over 15000 personal licences and 1765 project licences in the new open source system which has successfully replaced the previous system on time and within budget. The UK Bioscience industry is worth £50bn. It depends on this system to function smoothly and legally. 
Marvell Consulting also provides live support to 11 HO digital services. ",,Lost,28/01/2020,DIT,Discovery and design phase for inbound enquiry handling & channel strategy,Deloitte LLP,34,,
37, Experience of delivering alphas in line within the Government Service Manual," Our latest service for Regulating the use of Animals in Science for the Home Office has passed three alpha GDS assessments meeting all points of the digital service standard. Marvell Consulting has supplied a multidisciplinary agile team of ten members over two years to research, design and deliver a multi-tiered e-licensing system for regulating the use of Animals in Science. The end users of the service are establishments from academia and industry in the UK. Our agile approach to delivery was in line with the Government Service Manual for developing end to end services. ",,Lost,28/01/2020,MHCLG,MHCLG Local Plans Alpha Phase,DXW,25,,
38, Experience of recruiting users for research ," Our researchers have extensive experience recruiting users for research. For the user centric development of the new ASL e-licensing system for the Home Office, we identified and recruited users across the Bioscience ecosystem. We liaised with 80 research establishments in academia and in industry and recruited over 200 users to take part in research over a two year period. We built relationships and kept the user community informed of our progress and goals. 
As a result, we were able to recruit users rapidly (in less than two weeks) to test prototype iterations without impacting the project’s deadline for delivery. ",,Lost,28/01/2020,MHCLG,MHCLG Local Plans Alpha Phase,DXW,25,,
39, Experience of delivering user-centred solutions to problems., Marvell Consulting has experience of the GDS lifecycle from discovery through to delivering a live service that is user centric and accessible. For the Animals in Science Licensing system we worked with the Animal Science Regulation Unit at the Home Office to replace their underperforming licensing system with a new digital service. We created and delivered 300 user research sessions and workshops over two years. We designed and conducted rapid usability testing on prototypes from low to high fidelity based on user needs. Our development team implemented the solution iteratively. The service is in public beta receiving positive user feedback.,,Lost,28/01/2020,MHCLG,MHCLG Local Plans Alpha Phase,DXW,25,,
40, Evidence of meeting skill requirements based on the anticipated composition of the team.," Marvell Consulting has supplied skilled agile teams across all disciplines to deliver successfully on challenging government projects. For the ASL e-licensing system for the Home Office we supplied a senior team of user researchers, interaction designers, content designers, developers, technical architects and an agile delivery manager. The team was staffed and brought to full strength on schedule. We have demonstrated the ability to deliver anticipated needs and then to modify and flex resources based on our experience of the actual work of the project, tailoring especially, our design, data and analysis capabilities to specific needs.   ",,Lost,28/01/2020,MHCLG,MHCLG Local Plans Alpha Phase,DXW,25,,
41," Experience of working on the production of local plans in a local planning authority It would be useful if you were able to provide an example of where you have worked, produced and delivered a digital project where local plans are or were involved."," Our senior user researcher, Anthony, managed the research and design activities for the development of the WebCat Tool for TfL. He worked with the client’s planning team to research with users and design a new website that would enable planners to assess how well connected London neighbourhoods are. He tested in an agile environment with a diverse audience, including local authority and NHS planners, internal stakeholders and general public users.
The solution won the AGI Award for Geospatial Excellence, for “representing good practice in development with clear stakeholder and audience engagement [...] and careful identification of the functionality”.﻿",,Lost,28/01/2020,MHCLG,MHCLG Local Plans Alpha Phase,DXW,25,,
42, Demonstrable evidence of delivering a discovery in line with GDS guidelines for a government department," We delivered the discovery for Reporting Modern Slavery for the Home Office in line with GDS guidelines having passed a GDS assessment. We identified the users in the National Referral Mechanism, mapped processes, systems and pain points from referral through to investigation by engaging with stakeholders across the country. We produced a report with personas, prioritised user needs, stories and user journeys to take into Alpha. Our recommendations shaped the new digital service. A new easy to use online form replaced multiple paper forms with effective triaging of referrals and a system that joins the various parties throughout the NRM.  ",2,Lost,04/02/2020,DIT,Freight Mapping Tool Discovery,Frazer-Nash Consultancy,38,,
43," Demonstrable evidence of investigating and understanding potential user journeys through a data hub, both from a content uploading and content consumption side"," Many government teams lack the resources to effectively make use of their performance data. Rich data are buried in closed off databases, owned by separate teams, spread across a range of different sources or just be hard to make sense of. We mapped the journeys of content uploading and created an API that pulled in data from a range of sources – including online surveys and offline service data. We created standardised definitions of metrics and template visualisations – meaning the data could be transformed into KPIs for consumption – that service teams were able to build service improvements upon.",1,Lost,04/02/2020,DIT,Freight Mapping Tool Discovery,Frazer-Nash Consultancy,38,,
44, Experience of gathering evidence where stakeholders may have commercial concerns with being fully open in their responses ," For the Home Office's Animal Science Licensing system we engaged with 85 establishments in academia and in industry from the UK Bioscience sector. 
Users had commercial concerns with being fully open in their responses and needed to ensure  protection of intellectual property information when applying for a licence to the HO. We built a system so that only users with appropriate permissions could access sensitive data even within the same establishment as it can often host projects for competing companies. Moreover, our solution enabled the publication of non technical summaries by removing all identifiable data for a scientist or organisation. ",-,Lost,04/02/2020,DIT,Freight Mapping Tool Discovery,Frazer-Nash Consultancy,38,Scored a 1 on a previous answer so this unmarked,
45," Evidence of technical understanding of different methods of data warehousing, dissemination and secure sharing"," For the Home Office's Animal Science Licensing system we architected a number of data storage and access systems including structured and unstructured data, and document storage. These implemented fine-grained security and access protocols supporting different levels of access to documents and subsets of data depending on a user's credentials.
These were backed by technologies including postgres and S3 and access was controlled by JWT access tokens and OAuth2.",-,Lost,04/02/2020,DIT,Freight Mapping Tool Discovery,Frazer-Nash Consultancy,38,,
46, Provide experience of researching relevant digital technologies that are anticipated to be needed to meet user needs," We have been involved in the initial architecture phase of a number of projects including Online Passport Renewals and Animal Science Licensing (ASL), and in each case researched where existing technology was available to meet user needs and where new software development was required. 
For HMPO, the new software solutions were identified to meet the needs for a number of other services across government and were published as open-source software and re-used across a number of other projects.
For ASL, a number of existing solutions in use at HO were identified and used to greatly accelerate delivery of the project.",-,Lost,04/02/2020,DIT,Freight Mapping Tool Discovery,Frazer-Nash Consultancy,38,,
47, Demonstrable experience of freight or wider transport industry engagement," Our senior user researcher, Anthony, managed the research and design activities for the development of the WebCat Tool for TfL. He worked with the client’s planning team to research with users and design a new website that would enable planners to assess how well connected London neighbourhoods are. He tested in an agile environment with a diverse
audience, including local authority and NHS planners, internal stakeholders and general public users.
The solution won the AGI Award for Geospatial Excellence, for “representing good practice in development with clear stakeholder and audience engagement [...] and careful identification of the functionality”.﻿Department for International Trade
Discovery and design phase for inbound enquiry handling & channel strategy",-,Lost,04/02/2020,DIT,Freight Mapping Tool Discovery,Frazer-Nash Consultancy,38,,
48, Evidence of delivering to meet the Technology Code of Practice and the Government/Digital Service Standard," Marvell Consulting has supplied a multidisciplinary agile team of 10 to research, design and deliver a multi-tiered e-licensing system for regulating the use of animals in science for the Home Office. The service is now in public beta having passed three alpha service assessments and one beta service assessment, meeting all 14 points of the Service Standard. The technical implementation was reviewed and assessed by the Home Office’s Technical Design Authority and was considered to meet all points of the Technology Code of Practice.",,Lost,06/02/2020,MHCLG,MHCLG - Housing Complaints Resolution Service (Discovery),Not stated,43,,
49, Experience of conducting user research ," We have extensive experience of planning and conducting user research sessions to support evidence-based product development. For the Animals in Science Licensing system for the Home Office two of our researchers created and delivered around 300 user research sessions over 2 years, visiting establishments in research hubs across the country. We used research methods including contextual enquiry, focus groups, ideation workshops, usability testing of prototypes and gathering feedback on live software. The service is now in public beta and delivers substantial cost savings to the Home Office, enhanced compliance and increased user satisfaction to establishments in the bioscience industry. ",,Lost,06/02/2020,MHCLG,MHCLG - Housing Complaints Resolution Service (Discovery),Not stated,43,,
50, Experience of having delivered user-centred web-design," User-centred design is central to the Marvell Consulting team’s approach to product development. For the Animals in Science Licensing project we created an end-to-end service map and user journeys with service teams and external users that joined up a previously fragmented system. Prototyped designs used GDS design patterns and components wherever possible, with new patterns developed as and when needed. Prototypes were iterated rapidly in response to user feedback - both external and internal - with developers implementing changes in a similarly agile way. The service is now in public beta and has received very positive user feedback.",,Lost,06/02/2020,MHCLG,MHCLG - Housing Complaints Resolution Service (Discovery),Not stated,43,,
